ambil air,ma ar
ia mengambil tas,i na tas
ia mengambil tisu,i na tisu
ia mengambil wajan,i na kalin
ibu belajar aljabar,nina na balajar aljabar
ibu belajar bahasa,nina na balajar minak 
ibu belajar beradaptasi,nina na balajar nai bisa ku mian nai tompat woun
ibu belajar berbagi,nina na balajar ku figuan
ibu belajar berempati,nina na balajar nai ku fituin mancian woun
ibu belajar berenang,nina na balajar ngangu
ibu belajar berjalan,nina na balajar ku tagi
ibu belajar berkerja,nina na balajar karja
ibu belajar berkomunikasi,nina na balajar sinabi ra 
ibu belajar berlari,nina na balajar ku falaru
ibu belajar bermain ,nina na balajar lenga
ibu belajar berpikir,nina na balajar ku fikir
ibu belajar bersabar,nina na balajar sabar a
ibu belajar bersyukur,nina na balajar syukur 
ibu belajar biologi,nina na balajar ilmu alam
ibu belajar catur ,nina na balajar catur
ibu belajar displin,nina na balajar ku lenga tu waktu ra tei
ibu belajar fisika,nina na balajar fisika
ibu belajar komputer,nina na balajar komputer 
ibu belajar mancing,nina na belajar subelat
ibu belajar matematika ,nina na balajar berhitung 
ibu belajar memaafkan,nina na balajar ta gafin
ibu belajar memanah,nina na balajar fana-fanak a
ibu belajar memasak,nina na balajar firakan
ibu belajar membaca,nina na balajar baca
ibu belajar menari,nina na balajar sula
ibu belajar mengaji,nina na balajar sibur
ibu belajar menggambar,nina na balajar garis-garis 
ibu belajar menghitung,nina na balajar firekin
ibu belajar menjahit,nina na balajar firait
ibu belajar menulis,nina na balajar tulis
ibu belajar menyanyi,nina na balajar manyanyi
ibu belajar olahraga ,nina na balajar olahraga 
ibu belajar shalat,nina na balajar sumbiyang
ibu belum bangun,nina bot na wotu tei
ibu belum belajar,nina bot na balajar tei
ibu belum berhasil,nina bot na na roka mana gafin tei
ibu belum makan,nina bot na ka tei
ibu belum mandi,nina bot na sou tei
ibu belum melihatmu,nina bot na kilangar kau tei
ibu belum melihatnya,nina bot na kilangar i tei
ibu belum memulai,nina bot na mulai tei
ibu belum mencintaimu,nina bot na fituin kau tei
ibu belum mencintainya,nina bot na fituin i tei
ibu belum mendengarnya,nina bot na rongar i tei
ibu belum menemukanmu,nina bot na roka kau tei
ibu belum menemukannya,nina bot na roka i tei
ibu belum menerimamu,nina bot na tarima kau tei
ibu belum menerimanya,nina bot na tarima i tei
ibu belum mengajar,nina bot na fakuturu tei
ibu belum menikah,nina bot na fisa tei
ibu belum menyerah,nina bot na na suka tei
ibu belum menyesal,nina bot na laminora masingat tei
ibu belum merindukanmu,nina bot na marasai kau tei
ibu belum merindukannya,nina bot na marasai i tei
ibu belum minum,nina bot na kinu tei
ibu belum rela,nina bot na iklas tei
ibu belum tahu,nina bot na ruk tei
ibu belum terima,nina bot na tarima tei
ibu belum tidur,nina bot na kifit tei
ibu gemar belajar,nina na suka balajar
ibu gemar berenang,nina na suka ngangu
ibu gemar bermain,nina na suka lenga
ibu gemar makan,nina na suka fanga
ibu gemar mandi,nina na suka sou
ibu gemar menyanyi,nina na suka manyanyi
ibu gemar minum,nina na suka minu
ibu gemar pergi,nina na suka tagi
ibu ingin belajar,nina na mau balajar
ibu ingin berlari,nina na mau falaru
ibu ingin berteriak,nina na mau gurait
ibu ingin cinta,nina na mau fituin
ibu ingin hidup,nina na mau na liu
ibu ingin kecewa,nina na mau laminoa na geit
ibu ingin lari,nina na mau falaru
ibu ingin makan,nina na mau fanga
ibu ingin mandi,nina na mau sou
ibu ingin marah,nina na mau sia
ibu ingin mati,nina na mau mata
ibu ingin melihat,nina na mau kilangar
ibu ingin membaca,nina na mau baca
ibu ingin menangis,nina na mau tangis
ibu ingin mendengar,nina na mau rongar
ibu ingin mengajar,nina na mau fakturu
ibu ingin menulis,nina na mau tulis
ibu ingin minum,nina na mau minu
ibu ingin muntah,nina na mau luak
ibu ingin rindu,nina na mau marasai
ibu ingin sakit,nina na mau masingat
ibu ingin sedih,nina na mau masgul
ibu ingin tidur,nina na mau kifit
ibu makan anggur,nina na ka fanga anggur
ibu makan apel,nina na ka fanga apel
ibu makan ayam,nina na ka fanga manuk
ibu makan babi,nina na ka fanga boi
ibu makan buah,nina na ka fanga woi
ibu makan buaya,nina na ka fanga wai
ibu makan daging,nina na ka fanga daging
ibu makan dodol,nina na ka fanga dodol
ibu makan domba,nina na ka fanga domba 
ibu makan gurita,nina na ka fanga kurit
ibu makan ikan,nina na ka fanga ikan
ibu makan kacang,nina na ka fanga kacang
ibu makan kambing,nina na ka fanga bibi
ibu makan kedondong,nina na ka fanga nina kadondong
ibu makan kelapa,nina na ka fanga niu
ibu makan kue,nina na ka fanga kukis
ibu makan mangga,nina na ka fanga ayai
ibu makan manggis,nina na ka fanga manggustan
ibu makan nanas,nina na ka fanga nina na ka kainasi
ibu makan nasi ,nina na ka fanga fasa
ibu makan papeda,nina na ka fanga baititik 
ibu makan pisang,nina na ka fanga fudi
ibu makan roti,nina na ka fanga barot
ibu makan sagu,nina na ka fanga suat
ibu makan sapi,nina na ka fanga sapi
ibu makan sayur,nina na ka fanga utan
ibu makan semangka,nina na ka fanga tumin
ibu makan singkong,nina na ka fanga bangala
ibu makan sinole,nina na ka fanga sinole
ibu makan ubi,nina na ka fanga ui
ibu makan ular,nina na ka fanga tekis
ibu mengambil air ,nina na ar
ibu mengambil baju,nina na ladan
ibu mengambil barang,nina na mana sa
ibu mengambil batu,nina na watu
ibu mengambil buah,nina na woi
ibu mengambil buku,nina na buk
ibu mengambil cangkir,nina na moak 
ibu mengambil celana,nina na kada 
ibu mengambil daun,nina na kairu
ibu mengambil garam,nina na sira 
ibu mengambil garpu,nina na forok
ibu mengambil gelas,nina na galas
ibu mengambil gitar,nina na juk
ibu mengambil handuk,nina na handuk
ibu mengambil helm,nina na helem
ibu mengambil kayu,nina na kai
ibu mengambil kertas,nina na kartas
ibu mengambil kiriman ,nina na fingkatu
ibu mengambil kue,nina na kukis
ibu mengambil linggis,nina na suan 
ibu mengambil mangkuk,nina na basi kua
ibu mengambil obat ,nina na mofun
ibu mengambil pakaian ,nina na ladan
ibu mengambil paku,nina na paku
ibu mengambil palu,nina na resan
ibu mengambil panci,nina na panci
ibu mengambil parang,nina na peda
ibu mengambil pena,nina na kalam
ibu mengambil piring ,nina na bingan
ibu mengambil pisau,nina na turit
ibu mengambil sekop,nina na skop
ibu mengambil sendal,nina na sandal
ibu mengambil sendok,nina na sisiru
ibu mengambil sepatu ,nina na sapatu
ibu mengambil sisir,nina na sisir
ibu mengambil surat,nina na surat
ibu mengambil tas,nina na tas
ibu mengambil tisu,nina na tisu
ibu mengambil wajan,nina na kalin
kakak mengambil air ,kaka na ar
kakak mengambil baju,kaka na ladan
kakak mengambil barang,kaka na mana sa
kakak mengambil batu,kaka na watu
kakak mengambil buah,kaka na woi
kakak mengambil buku,kaka na buk
kakak mengambil cangkir,kaka na moak 
kakak mengambil celana,kaka na kada 
kakak mengambil daun,kaka na kairu
kakak mengambil garam,kaka na sira 
kakak mengambil garpu,kaka na forok
kakak mengambil gelas,kaka na galas
kakak mengambil gitar,kaka na juk
kakak mengambil handuk,kaka na handuk
kakak mengambil helm,kaka na helem
kakak mengambil kayu,kaka na kai
kakak mengambil kertas,kaka na kartas
kakak mengambil kiriman ,kaka na fingkatu
kakak mengambil kue,kaka na kukis
kakak mengambil linggis,kaka na suan 
kakak mengambil mangkuk,kaka na basi kua
kakak mengambil obat ,kaka na mofun
kakak mengambil pakaian ,kaka na ladan
kakak mengambil paku,kaka na paku
kakak mengambil palu,kaka na resan
kakak mengambil panci,kaka na panci
kakak mengambil parang,kaka na peda
kakak mengambil pena,kaka na kalam
kakak mengambil piring ,kaka na bingan
kakak mengambil pisau,kaka na turit
kakak mengambil sekop,kaka na skop
kakak mengambil sendal,kaka na sandal
kakak mengambil sendok,kaka na sisiru
kakak mengambil sepatu ,kaka na sapatu
kakak mengambil sisir,kaka na sisir
kakak mengambil surat,kaka na surat
kakak mengambil tas,kaka na tas
kakak mengambil tisu,kaka na tisu
kakak mengambil wajan,kaka na kalin
kakek gemar belajar,tata urana na suka balajar
kakek gemar berenang,tata urana na suka ngangu
kakek gemar bermain,tata urana na suka lenga
kakek gemar makan,tata urana na suka fanga
kakek gemar mandi,tata urana na suka sou
kakek gemar menyanyi,tata urana na suka manyanyi
kakek gemar minum,tata urana na suka minu
kakek gemar pergi,tata urana na suka tagi
kakek makan anggur,tata urana na ka fanga anggur
kakek makan apel,tata urana na ka fanga apel
kakek makan ayam,tata urana na ka fanga manuk
kakek makan babi,tata urana na ka fanga boi
kakek makan buah,tata urana na ka fanga woi
kakek makan buaya,tata urana na ka fanga wai
kakek makan daging,tata urana na ka fanga daging
kakek makan dodol,tata urana na ka fanga dodol
kakek makan domba,tata urana na ka fanga domba 
kakek makan gurita,tata urana na ka fanga kurit
kakek makan ikan,tata urana na ka fanga ikan
kakek makan kacang,tata urana na ka fanga kacang
kakek makan kambing,tata urana na ka fanga bibi
kakek makan kedondong,tata urana na ka fanga kadondong
kakek makan kelapa,tata urana na ka fanga niu
kakek makan kue,tata urana na ka fanga kukis
kakek makan mangga,tata urana na ka fanga ayai
kakek makan manggis,tata urana na ka fanga manggustan
kakek makan nanas,tata urana na ka fanga kainasi
kakek makan nasi ,tata urana na ka fanga fasa
kakek makan papeda,tata urana na ka fanga baititik 
kakek makan pisang,tata urana na ka fanga fudi
kakek makan roti,tata urana na ka fanga barot
kakek makan sagu,tata urana na ka fanga suat
kakek makan sapi,tata urana na ka fanga sapi
kakek makan sayur,tata urana na ka fanga utan
kakek makan semangka,tata urana na ka fanga tumin
kakek makan singkong,tata urana na ka fanga bangala
kakek makan sinole,tata urana na ka fanga sinole
kakek makan ubi,tata urana na ka fanga ui
kakek makan ular,tata urana na ka fanga tekis
kakek mengambil air ,tata urana na ar
kakek mengambil baju,tata urana na ladan
kakek mengambil barang,tata urana na mana sa
kakek mengambil batu,tata urana na watu
kakek mengambil buah,tata urana na woi
kakek mengambil buku,tata urana na buk
kakek mengambil cangkir,tata urana na moak 
kakek mengambil celana,tata urana na kada 
kakek mengambil daun,tata urana na kairu
kakek mengambil garam,tata urana na sira 
kakek mengambil garpu,tata urana na forok
kakek mengambil gelas,tata urana na galas
kakek mengambil gitar,tata urana na juk
kakek mengambil handuk,tata urana na handuk
kakek mengambil helm,tata urana na helem
kakek mengambil kayu,tata urana na kai
kakek mengambil kertas,tata urana na kartas
kakek mengambil kiriman ,tata urana na fingkatu
kakek mengambil kue,tata urana na kukis
kakek mengambil linggis,tata urana na suan 
kakek mengambil mangkuk,tata urana na basi kua
kakek mengambil obat ,tata urana na mofun
kakek mengambil pakaian ,tata urana na ladan
kakek mengambil paku,tata urana na paku
kakek mengambil palu,tata urana na resan
kakek mengambil panci,tata urana na panci
kakek mengambil parang,tata urana na peda
kakek mengambil pena,tata urana na kalam
kakek mengambil piring ,tata urana na bingan
kakek mengambil pisau,tata urana na turit
kakek mengambil sekop,tata urana na skop
kakek mengambil sendal,tata urana na sandal
kakek mengambil sendok,tata urana na sisiru
kakek mengambil sepatu ,tata urana na sapatu
kakek mengambil sisir,tata urana na sisir
kakek mengambil surat,tata urana na surat
kakek mengambil tas,tata urana na tas
kakek mengambil tisu,tata urana na tisu
kakek mengambil wajan,tata urana na kalin
kalian belajar aljabar,kumu balajar aljabar
kalian belajar bahasa,kumu balajar minak 
kalian belajar beradaptasi,kumu balajar nai bisa ku mian nai tompat woun
kalian belajar berbagi,kumu balajar ku figuan
kalian belajar berempati,kumu balajar nai ku fituin mancian woun
kalian belajar berenang,kumu balajar ngangu
kalian belajar berjalan,kumu balajar ku tagi
kalian belajar berkerja,kumu balajar karja
kalian belajar berkomunikasi,kumu balajar sinabi ra 
kalian belajar berlari,kumu balajar ku falaru
kalian belajar bermain ,kumu balajar lenga
kalian belajar berpikir,kumu balajar ku fikir
kalian belajar bersabar,kumu balajar sabar a
kalian belajar bersyukur,kumu balajar syukur 
kalian belajar biologi,kumu balajar ilmu alam
kalian belajar catur ,kumu balajar catur
kalian belajar displin,kumu balajar ku lenga tu waktu ra tei
kalian belajar fisika,kumu balajar fisika
kalian belajar komputer,kumu balajar komputer 
kalian belajar mancing,kumu belajar subelat
kalian belajar matematika ,kumu balajar berhitung 
kalian belajar memaafkan,kumu balajar ta gafin
kalian belajar memanah,kumu balajar fana-fanak a
kalian belajar memasak,kumu balajar firakan
kalian belajar membaca,kumu balajar baca
kalian belajar menari,kumu balajar sula
kalian belajar mengaji,kumu balajar sibur
kalian belajar menggambar,kumu balajar garis-garis 
kalian belajar menghitung,kumu balajar firekin
kalian belajar menjahit,kumu balajar firait
kalian belajar menulis,kumu balajar tulis
kalian belajar menyanyi,kumu balajar manyanyi
kalian belajar olahraga ,kumu balajar olahraga 
kalian belajar shalat,kumu balajar sumbiyang
kalian gemar belajar,kumu suka balajar
kalian gemar berenang,kumu suka ngangu
kalian gemar bermain,kumu suka lenga
kalian gemar makan,kumu suka fanga
kalian gemar mandi,kumu suka sou
kalian gemar menyanyi,kumu suka manyanyi
kalian gemar minum,kumu suka minu
kalian gemar pergi,kumu suka dagi
kalian makan anggur,kumu ga fanga anggur
kalian makan apel,kumu ga fanga apel
kalian makan ayam,kumu ga fanga manuk
kalian makan babi,kumu ga fanga boi
kalian makan buah,kumu ga fanga woi
kalian makan buaya,kumu ga fanga wai
kalian makan daging,kumu ga fanga daging
kalian makan dodol,kumu ga fanga dodol
kalian makan domba,kumu ga fanga domba 
kalian makan gurita,kumu ga fanga kurit
kalian makan ikan,kumu ga fanga ikan
kalian makan kacang,kumu ga fanga kacang
kalian makan kambing,kumu ga fanga bibi
kalian makan kedondong,kumu ga fanga kadondong
kalian makan kelapa,kumu ga fanga niu
kalian makan kue,kumu ga fanga kukis
kalian makan mangga,kumu ga fanga ayai
kalian makan manggis,kumu ga fanga manggustan
kalian makan nanas,kumu ga fanga kainasi
kalian makan nasi ,kumu ga fanga fasa
kalian makan papeda,kumu ga fanga baititik 
kalian makan pisang,kumu ga fanga fudi
kalian makan roti,kumu ga fanga barot
kalian makan sagu,kumu ga fanga suat
kalian makan sapi,kumu ga fanga sapi
kalian makan sayur,kumu ga fanga utan
kalian makan semangka,kumu ga fanga tumin
kalian makan singkong,kumu ga fanga bangala
kalian makan sinole,kumu ga fanga sinole
kalian makan ubi,kumu ga fanga ui
kalian makan ular,kumu ga fanga tekis
kalian mengambil air ,kumu ma ar
kalian mengambil baju,kumu ma ladan
kalian mengambil barang,kumu ma mana sa
kalian mengambil batu,kumu ma woi
kalian mengambil buah,kumu ma woi
kalian mengambil buku,kumu ma buk
kalian mengambil cangkir,kumu ma moak
kalian mengambil celana,kumu ma kada
kalian mengambil daun,kumu ma kairu
kalian mengambil garam,kumu ma sira
kalian mengambil garpu,kumu ma forok
kalian mengambil gelas,kumu ma galas
kalian mengambil gitar,kumu ma juk
kalian mengambil handuk,kumu ma handuk
kalian mengambil helm,kumu ma helem
kalian mengambil kayu,kumu ma kai
kalian mengambil kertas,kumu ma kartas
kalian mengambil kiriman ,kumu ma fingkatu
kalian mengambil kue,kumu ma kukis
kalian mengambil linggis,kumu ma suan
kalian mengambil mangkuk,kumu ma basi kua
kalian mengambil obat ,kumu ma mofun
kalian mengambil pakaian ,kumu ma ladan
kalian mengambil paku,kumu ma paku
kalian mengambil palu,kumu ma resan
kalian mengambil panci,kumu ma panci
kalian mengambil parang,kumu ma peda
kalian mengambil pena,kumu ka kalam
kalian mengambil piring ,kumu ma bingan
kalian mengambil pisau,kumu ma turit
kalian mengambil sekop,kumu ma skop
kalian mengambil sendal,kumu ma sandal
kalian mengambil sendok,kumu ma sisiru
kalian mengambil sepatu ,kumu ma sapatu
kalian mengambil sisir,kumu ma sisir
kalian mengambil surat,kumu ma surat
kalian mengambil tas,kumu ma tas
kalian mengambil tisu,kumu ma tisu
kalian mengambil wajan,kumu ma kalin
kami gemar belajar,kami ka suka balajar
kami gemar berenang,kami ka suka ngangu
kami gemar bermain,kami ka suka lenga
kami gemar makan,kami ka suka fanga
kami gemar mandi,kami ka suka sou
kami gemar menyanyi,kami ka suka manyanyi
kami gemar minum,kami ka suka minu
kami gemar pergi,kami ka suka tagi
kami makan anggur,kita ka ka fanga anggur
kami makan apel,kita ka ka fanga apel
kami makan ayam,kita ka ka fanga manuk
kami makan babi,kita ka ka fanga boi
kami makan buah,kita ka ka fanga woi
kami makan buaya,kita ka ka fanga wai
kami makan daging,kita ka ka fanga daging
kami makan dodol,kita ka ka fanga dodol
kami makan domba,kita ka ka fanga domba 
kami makan gurita,kita ka ka fanga kurit
kami makan ikan,kita ka ka fanga ikan
kami makan kacang,kita ka ka fanga kadondong
kami makan kambing,kita ka ka fanga bibi
kami makan kedondong,kita ka ka fanga kadondong
kami makan kelapa,kita ka ka fanga niu
kami makan kue,kita ka ka fanga kukis
kami makan mangga,kita ka ka fanga ayai
kami makan manggis,kita ka ka fanga manggustan
kami makan nanas,kita ka ka fanga kainasi
kami makan nasi ,kita ka ka fanga fasa
kami makan papeda,kita ka ka fanga baititik 
kami makan pisang,kita ka ka fanga fudi
kami makan roti,kita ka ka fanga barot
kami makan sagu,kita ka ka fanga suat
kami makan sapi,kita ka ka fanga sapi
kami makan sayur,kita ka ka fanga utan
kami makan semangka,kita ka ka fanga tumin
kami makan singkong,kita ka ka fanga bangala
kami makan sinole,kita ka ka fanga sinole
kami makan ubi,kita ka ka fanga ui
kami makan ular,kita ka ka fanga tekis
kami mengambil air ,kami ka ar
kami mengambil baju,kami ka ladan
kami mengambil barang,kami ka mana sa
kami mengambil batu,kami ka woi
kami mengambil buah,kami ka woi
kami mengambil buku,kami ka buk
kami mengambil cangkir,kami ka moak
kami mengambil celana,kami ka kada
kami mengambil daun,kami ka kairu
kami mengambil garam,kami ka sira
kami mengambil garpu,kami ka forok
kami mengambil gelas,kami ka galas
kami mengambil gitar,kami ka juk
kami mengambil handuk,kami ka handuk
kami mengambil helm,kami ka helem
kami mengambil kayu,kami ka kai
kami mengambil kertas,kami ka kartas
kami mengambil kiriman ,kami ka fingkatu
kami mengambil kue,kami ka kukis
kami mengambil linggis,kami ka suan
kami mengambil mangkuk,kami ka basi kua
kami mengambil obat ,kami ka mofun
kami mengambil pakaian ,kami ka ladan
kami mengambil paku,kami ka paku
kami mengambil palu,kami ka resan
kami mengambil panci,kami ka panci
kami mengambil parang,kami ka peda
kami mengambil pena,kami ka kalam
kami mengambil piring ,kami ka bingan
kami mengambil pisau,kami ka turit
kami mengambil sekop,kami ka skop
kami mengambil sendal,kami ka sandal
kami mengambil sendok,kami ka sisiru
kami mengambil sepatu ,kami ka sapatu
kami mengambil sisir,kami ka sisir
kami mengambil surat,kami ka surat
kami mengambil tas,kami ka tas
kami mengambil tisu,kami ka tisu
kami mengambil wajan,kami ka kalin
kamu belajar aljabar,kau balajar aljabar
kamu belajar bahasa,kau balajar minak 
kamu belajar beradaptasi,kau balajar nai bisa ku mian nai tompat woun
kamu belajar berbagi,kau balajar ku figuan
kamu belajar berempati,kau balajar nai ku fituin mancian woun
kamu belajar berenang,kau balajar ngangu
kamu belajar berjalan,kau balajar ku tagi
kamu belajar berkerja,kau balajar karja
kamu belajar berkomunikasi,kau balajar sinabi ra 
kamu belajar berlari,kau balajar ku falaru
kamu belajar bermain ,kau balajar lenga
kamu belajar berpikir,kau balajar ku fikir
kamu belajar bersabar,kau balajar sabar a
kamu belajar bersyukur,kau balajar syukur 
kamu belajar biologi,kau balajar ilmu alam
kamu belajar catur ,kau balajar catur
kamu belajar displin,kau balajar ku lenga tu waktu ra tei
kamu belajar fisika,kau balajar fisika
kamu belajar komputer,kau balajar komputer 
kamu belajar mancing,kau belajar subelat
kamu belajar matematika ,kau balajar berhitung 
kamu belajar memaafkan,kau balajar ta gafin
kamu belajar memanah,kau balajar fana-fanak a
kamu belajar memasak,kau balajar firakan
kamu belajar membaca,kau balajar baca
kamu belajar menari,kau balajar sula
kamu belajar mengaji,kau balajar sibur
kamu belajar menggambar,kau balajar garis-garis 
kamu belajar menghitung,kau balajar firekin
kamu belajar menjahit,kau balajar firait
kamu belajar menulis,kau balajar tulis
kamu belajar menyanyi,kau balajar manyanyi
kamu belajar olahraga ,kau balajar olahraga 
kamu belajar shalat,kau balajar sumbiyang
kamu ingin belajar,kau mau balajar
kamu ingin berlari,kau mau falaru
kamu ingin berteriak,kau mau gurait
kamu ingin cinta,kau mau fituin
kamu ingin hidup,kau mau na liu
kamu ingin kecewa,kau mau laminoa na geit
kamu ingin lari,kau mau falaru
kamu ingin makan,kau mau fanga
kamu ingin mandi,kau mau sou
kamu ingin marah,kau mau sia
kamu ingin mati,kau mau mata
kamu ingin melihat,kau mau kilangar
kamu ingin membaca,kau mau baca
kamu ingin menangis,kau mau tangis
kamu ingin mendengar,kau mau rongar
kamu ingin mengajar,kau mau fakturu
kamu ingin menulis,kau mau tulis
kamu ingin minum,kau mau minu
kamu ingin muntah,kau mau luak
kamu ingin rindu,kau mau marasai
kamu ingin sakit,kau mau masingat
kamu ingin sedih,kau mau masgul
kamu ingin tidur,kau mau kifit
kamu makan anggur,kau ka anggur
kamu makan apel,kau ka apel
kamu makan ayam,kau ka manuk
kamu makan babi,kau ka boi
kamu makan buah,kau ka woi
kamu makan buaya,kau ka wai
kamu makan daging,kau ka daging
kamu makan dodol,kau ka dodol
kamu makan domba,kau ka domba 
kamu makan gurita,kau ka kurit
kamu makan ikan,kau ka ikan
kamu makan kacang,kau ka kacang
kamu makan kambing,kau ka bibi
kamu makan kedondong,kau ka kadondong
kamu makan kelapa,kau ka niu
kamu makan kue,kau ka kukis
kamu makan mangga,kau ka ayai
kamu makan manggis,kau ka manggustan
kamu makan nanas,kau ka kainasi
kamu makan nasi ,kau ka fasa
kamu makan papeda,kau ka baititik 
kamu makan pisang,kau ka fudi
kamu makan roti,kau ka barot
kamu makan sagu,kau ka suat
kamu makan sapi,kau ka sapi
kamu makan sayur,kau ka utan
kamu makan semangka,kau ka tumin
kamu makan singkong,kau ka bangala
kamu makan sinole,kau ka sinole
kamu makan ubi,kau ka ui
kamu makan ular,kau ka tekis
kamu mengambil air ,kau na ar
kamu mengambil baju,kau na ladan
kamu mengambil barang,kau na mana sa
kamu mengambil batu,kau na watu
kamu mengambil buah,kau na woi
kamu mengambil buku,kau na buk
kamu mengambil cangkir,kau na moak 
kamu mengambil celana,kau na kada 
kamu mengambil daun,kau na kairu 
kamu mengambil garam,kau na sira 
kamu mengambil garpu,kau na forok
kamu mengambil gelas,kau na galas
kamu mengambil gitar,kau na juk
kamu mengambil handuk,kau na handuk
kamu mengambil helm,kau na helem
kamu mengambil kayu,kau na kai
kamu mengambil kertas,kau na kartas
kamu mengambil kiriman ,kau na fingkatu
kamu mengambil kue,kau na kukis
kamu mengambil linggis,kau na suan 
kamu mengambil mangkuk,kau na basi kua
kamu mengambil obat ,kau na mofun
kamu mengambil pakaian ,kau na ladan
kamu mengambil paku,kau na paku
kamu mengambil palu,kau na resan
kamu mengambil panci,kau na panci
kamu mengambil parang,kau na peda
kamu mengambil pena,kau na kalam
kamu mengambil piring ,kau na bingan
kamu mengambil pisau,kau na turit
kamu mengambil sekop,kau na skop
kamu mengambil sendal,kau na sandal
kamu mengambil sendok,kau na sisiru
kamu mengambil sepatu ,kau na sapatu
kamu mengambil sisir,kau na sisir
kamu mengambil surat,kau na surat
kamu mengambil tas,kau na tas
kamu mengambil tisu,kau na tisu
kamu mengambil wajan,kau na kalin
kita gemar belajar,kita ta suka balajar
kita gemar berenang,kita ta suka ngangu
kita gemar bermain,kita ta suka lenga
kita gemar makan,kita ta suka fanga
kita gemar mandi,kita ta suka sou
kita gemar menyanyi,kita ta suka manyanyi
kita gemar minum,kita ta suka minu
kita gemar pergi,kita ta suka tagi
kita makan anggur,kita ta ka fanga anggur
kita makan apel,kita ta ka fanga apel
kita makan ayam,kita ta ka fanga manuk
kita makan babi,kita ta ka fanga boi
kita makan buah,kita ta ka fanga woi
kita makan buaya,kita ta ka fanga wai
kita makan daging,kita ta ka fanga daging
kita makan dodol,kita ta ka fanga dodol
kita makan domba,kita ta ka fanga domba 
kita makan gurita,kita ta ka fanga kurit
kita makan ikan,kita ta ka fanga ikan
kita makan kacang,kita ta ka fanga kacang
kita makan kambing,kita ta ka fanga bibi
kita makan kedondong,kita ta ka fanga kadondong
kita makan kelapa,kita ta ka fanga niu
kita makan kue,kita ta ka fanga kukis
kita makan mangga,kita ta ka fanga ayai
kita makan manggis,kita ta ka fanga manggustan
kita makan nanas,kita ta ka fanga kainasi
kita makan nasi ,kita ta ka fanga fasa
kita makan papeda,kita ta ka fanga baititik 
kita makan pisang,kita ta ka fanga fudi
kita makan roti,kita ta ka fanga barot
kita makan sagu,kita ta ka fanga suat
kita makan sapi,kita ta ka fanga sapi
kita makan sayur,kita ta ka fanga utan
kita makan semangka,kita ta ka fanga tumin
kita makan singkong,kita ta ka fanga bangala
kita makan sinole,kita ta ka fanga sinole
kita makan ubi,kita ta ka fanga ui
kita makan ular,kita ta ka fanga tekis
kita mengambil air ,kita ta ar
kita mengambil baju,kita ta ladan
kita mengambil barang,kita ta mana sa
kita mengambil batu,kita ta woi
kita mengambil buah,kita ta woi
kita mengambil buku,kita ta buk
kita mengambil cangkir,kita ta moak
kita mengambil celana,kita ta kada
kita mengambil daun,kita ta kairu
kita mengambil garam,kita ta sira
kita mengambil garpu,kita ta forok
kita mengambil gelas,kita ta galas
kita mengambil gitar,kita ta juk
kita mengambil handuk,kita ta handuk
kita mengambil helm,kita ta helem
kita mengambil kayu,kita ta kai
kita mengambil kertas,kita ta kartas
kita mengambil kiriman ,kita ta fingkatu
kita mengambil kue,kita ta kukis
kita mengambil linggis,kita ta suan
kita mengambil mangkuk,kita ta basi kua
kita mengambil obat ,kita ta mofun
kita mengambil pakaian ,kita ta ladan
kita mengambil paku,kita ta paku
kita mengambil palu,kita ta resan
kita mengambil panci,kita ta panci
kita mengambil parang,kita ta peda
kita mengambil pena,kita ta kalam
kita mengambil piring ,kita ta bingan
kita mengambil pisau,kita ta turit
kita mengambil sekop,kita ta skop
kita mengambil sendal,kita ta sandal
kita mengambil sendok,kita ta sisiru
kita mengambil sepatu ,kita ta sapatu
kita mengambil sisir,kita ta sisir
kita mengambil surat,kita ta surat
kita mengambil tas,kita ta tas
kita mengambil tisu,kita ta tisu
kita mengambil wajan,kita ta kalin
mama belajar aljabar,nina na balajar aljabar
mama belajar bahasa,nina na balajar minak 
mama belajar beradaptasi,nina na balajar nai bisa ku mian nai tompat woun
mama belajar berbagi,nina na balajar ku figuan
mama belajar berempati,nina na balajar nai ku fituin mancian woun
mama belajar berenang,nina na balajar ngangu
mama belajar berjalan,nina na balajar ku tagi
mama belajar berkerja,nina na balajar karja
mama belajar berkomunikasi,nina na balajar sinabi ra 
mama belajar berlari,nina na balajar ku falaru
mama belajar bermain ,nina na balajar lenga
mama belajar berpikir,nina na balajar ku fikir
mama belajar bersabar,nina na balajar sabar a
mama belajar bersyukur,nina na balajar syukur 
mama belajar biologi,nina na balajar ilmu alam
mama belajar catur ,nina na balajar catur
mama belajar displin,nina na balajar ku lenga tu waktu ra tei
mama belajar fisika,nina na balajar fisika
mama belajar komputer,nina na balajar komputer 
mama belajar mancing,nina na belajar subelat
mama belajar matematika ,nina na balajar berhitung 
mama belajar memaafkan,nina na balajar ta gafin
mama belajar memanah,nina na balajar fana-fanak a
mama belajar memasak,nina na balajar firakan
mama belajar membaca,nina na balajar baca
mama belajar menari,nina na balajar sula
mama belajar mengaji,nina na balajar sibur
mama belajar menggambar,nina na balajar garis-garis 
mama belajar menghitung,nina na balajar firekin
mama belajar menjahit,nina na balajar firait
mama belajar menulis,nina na balajar tulis
mama belajar menyanyi,nina na balajar manyanyi
mama belajar olahraga ,nina na balajar olahraga 
